method,avg_bins,gap_to_opt_pct,delta_vs_bf_pp,delta_vs_ff_pp,rel_improve_vs_bf_pct,rel_improve_vs_ff_pct
FunSearch-Lite (Ours),41.900000,4.7500,2.6250,2.6250,35.5932,35.5932
First-Fit (FF),42.950000,7.3750,0.0000,0.0000,0.0000,0.0000
Best-Fit (BF),42.950000,7.3750,0.0000,0.0000,0.0000,0.0000
