method,avg_bins,gap_to_opt_pct,delta_vs_bf_pp,delta_vs_ff_pp,rel_improve_vs_bf_pct,rel_improve_vs_ff_pct
FunSearch-Lite (Ours),21.300000,6.5000,2.0000,1.5000,23.5294,18.7500
First-Fit (FF),21.600000,8.0000,0.5000,0.0000,5.8824,0.0000
Best-Fit (BF),21.700000,8.5000,0.0000,-0.5000,0.0000,-6.2500
