source,instances,avg_bins,avg_gap,avg_gap_ratio,avg_gap_pct,ff_avg_gap_pct,bf_avg_gap_pct,delta_vs_bf_pp,delta_vs_ff_pp,rel_improve_vs_bf_pct,rel_improve_vs_ff_pct,best_score,best_score_pct,run_dir
binpack1,20,51.65,2.5,0.050970210826805654,5.097021082680565,6.199095122999034,5.5938450798379575,0.4968239971573922,1.1020740403184686,8.88161881615399,17.777982406330633,0.050970210826805654,5.097021082680565,runs\260325122756_or_parts_ds\subruns\260325122756_or_ds
binpack2,20,106.55,4.85,0.047634667022298446,4.763466702229844,6.287314534450404,5.904103770721672,1.140637068491828,1.52384783222056,19.319393980644843,24.236863351926527,0.047634667022298446,4.763466702229844,runs\260325122756_or_parts_ds\subruns\260325123608_or_ds
binpack3,20,208.85,7.65,0.037988669306373415,3.7988669306373417,5.7382355686119455,5.367907039463347,1.5690401088260053,1.9393686379746038,29.230016415911496,33.797299096309644,0.037988669306373415,3.7988669306373417,runs\260325122756_or_parts_ds\subruns\260325124738_or_ds
binpack4,20,414.6,14.05,0.03508428796079509,3.508428796079509,5.229809096300146,4.941933335738623,1.4335045396591144,1.7213803002206371,29.00695825442296,32.914782710490066,0.03508428796079509,3.508428796079509,runs\260325122756_or_parts_ds\subruns\260325130643_or_ds
binpack5,20,21.3,1.3,0.06500000000000002,6.500000000000002,8.000000000000004,8.500000000000005,2.0000000000000036,1.5000000000000018,23.52941176470591,18.750000000000014,0.06500000000000002,6.500000000000002,runs\260325122756_or_parts_ds\subruns\260325134646_or_ds
binpack6,20,42.05,2.05,0.05125000000000002,5.125000000000002,7.375,7.375,2.2499999999999982,2.2499999999999982,30.508474576271162,30.508474576271162,0.05125000000000002,5.125000000000002,runs\260325122756_or_parts_ds\subruns\260325135449_or_ds
binpack7,20,86.5,3.5,0.04216867469879518,4.216867469879518,6.385542168674699,6.385542168674699,2.168674698795181,2.168674698795181,33.9622641509434,33.9622641509434,0.04216867469879518,4.216867469879518,runs\260325122756_or_parts_ds\subruns\260325140328_or_ds
binpack8,20,173.55,6.55,0.039221556886227554,3.9221556886227553,5.8982035928143715,5.928143712574851,2.0059880239520957,1.9760479041916161,33.838383838383834,33.50253807106598,0.039221556886227554,3.9221556886227553,runs\260325122756_or_parts_ds\subruns\260325141618_or_ds
