method,avg_bins,gap_to_opt_pct,delta_vs_bf_pp,delta_vs_ff_pp,rel_improve_vs_bf_pct,rel_improve_vs_ff_pct
FunSearch-Lite (Ours),173.500000,3.8922,2.0359,2.0060,34.3434,34.0102
First-Fit (FF),176.850000,5.8982,0.0299,0.0000,0.5051,0.0000
Best-Fit (BF),176.900000,5.9281,0.0000,-0.0299,0.0000,-0.5076
