source,instances,avg_bins,avg_gap,avg_gap_ratio,avg_gap_pct,ff_avg_gap_pct,bf_avg_gap_pct,delta_vs_bf_pp,delta_vs_ff_pp,rel_improve_vs_bf_pct,rel_improve_vs_ff_pct,best_score,best_score_pct,run_dir
binpack1,20,51.8,2.65,0.0538763759684476,5.38763759684476,6.199095122999034,5.5938450798379575,0.20620748299319747,0.8114575261542738,3.686328099010759,13.089935063969502,0.0538763759684476,5.38763759684476,runs\260325122809_or_parts_ds\subruns\260325122809_or_ds
binpack2,20,106.9,5.2,0.05114537513134099,5.114537513134099,6.287314534450404,5.904103770721672,0.7895662575875733,1.1727770213163051,13.373177170479556,18.653067456546797,0.05114537513134099,5.114537513134099,runs\260325122809_or_parts_ds\subruns\260325123606_or_ds
binpack3,20,210.1,8.9,0.04422426311413038,4.422426311413038,5.7382355686119455,5.367907039463347,0.9454807280503088,1.3158092571989073,17.61358237203811,22.930554897333987,0.04422426311413038,4.422426311413038,runs\260325122809_or_parts_ds\subruns\260325124717_or_ds
binpack4,20,415.6,15.05,0.037570809797304414,3.7570809797304414,5.229809096300146,4.941933335738623,1.1848523560081818,1.4727281165697046,23.975482377305145,28.160265307037562,0.037570809797304414,3.7570809797304414,runs\260325122809_or_parts_ds\subruns\260325131034_or_ds
binpack5,20,21.25,1.25,0.06250000000000001,6.250000000000002,8.000000000000004,8.500000000000005,2.2500000000000036,1.7500000000000018,26.47058823529414,21.87500000000001,0.06250000000000001,6.250000000000002,runs\260325122809_or_parts_ds\subruns\260325135140_or_ds
binpack6,20,42.05,2.05,0.051250000000000004,5.125,7.375,7.375,2.25,2.25,30.508474576271187,30.508474576271187,0.051250000000000004,5.125,runs\260325122809_or_parts_ds\subruns\260325140103_or_ds
binpack7,20,86.55,3.55,0.0427710843373494,4.27710843373494,6.385542168674699,6.385542168674699,2.1084337349397595,2.1084337349397595,33.01886792452831,33.01886792452831,0.0427710843373494,4.27710843373494,runs\260325122809_or_parts_ds\subruns\260325141127_or_ds
binpack8,20,173.55,6.55,0.039221556886227554,3.9221556886227553,5.8982035928143715,5.928143712574851,2.0059880239520957,1.9760479041916161,33.838383838383834,33.50253807106598,0.039221556886227554,3.9221556886227553,runs\260325122809_or_parts_ds\subruns\260325142445_or_ds
