source,instances,avg_bins,avg_gap,avg_gap_ratio,avg_gap_pct,ff_avg_gap_pct,bf_avg_gap_pct,delta_vs_bf_pp,delta_vs_ff_pp,rel_improve_vs_bf_pct,rel_improve_vs_ff_pct,best_score,best_score_pct,run_dir
binpack1,20,51.8,2.65,0.05387637596844759,5.387637596844759,6.199095122999034,5.5938450798379575,0.20620748299319835,0.8114575261542747,3.686328099010775,13.089935063969516,0.05387637596844759,5.387637596844759,runs\260325122745_or_parts_ds\subruns\260325122745_or_ds
binpack2,20,106.85,5.15,0.05067825577271219,5.067825577271219,6.287314534450404,5.904103770721672,0.8362781934504531,1.219488957179185,14.164354590065628,19.39602274543729,0.05067825577271219,5.067825577271219,runs\260325122745_or_parts_ds\subruns\260325123536_or_ds
binpack3,20,209.85,8.65,0.04297013226107708,4.297013226107707,5.7382355686119455,5.367907039463347,1.0708938133556396,1.441222342504238,19.949932170634266,25.116123680730375,0.04297013226107708,4.297013226107707,runs\260325122745_or_parts_ds\subruns\260325124916_or_ds
binpack4,20,415.7,15.15,0.037801571604573606,3.7801571604573607,5.229809096300146,4.941933335738623,1.1617761752812625,1.4496519358427853,23.508535958581948,27.719022035973524,0.037801571604573606,3.7801571604573607,runs\260325122745_or_parts_ds\subruns\260325130733_or_ds
binpack5,20,21.25,1.25,0.06250000000000001,6.250000000000002,8.000000000000004,8.500000000000005,2.2500000000000036,1.7500000000000018,26.47058823529414,21.87500000000001,0.06250000000000001,6.250000000000002,runs\260325122745_or_parts_ds\subruns\260325134910_or_ds
binpack6,20,41.9,1.9,0.04750000000000001,4.750000000000001,7.375,7.375,2.624999999999999,2.624999999999999,35.59322033898304,35.59322033898304,0.04750000000000001,4.750000000000001,runs\260325122745_or_parts_ds\subruns\260325135616_or_ds
binpack7,20,86.45,3.45,0.04156626506024096,4.156626506024097,6.385542168674699,6.385542168674699,2.2289156626506026,2.2289156626506026,34.905660377358494,34.905660377358494,0.04156626506024096,4.156626506024097,runs\260325122745_or_parts_ds\subruns\260325140606_or_ds
binpack8,20,173.5,6.5,0.038922155688622756,3.8922155688622757,5.8982035928143715,5.928143712574851,2.0359281437125754,2.0059880239520957,34.343434343434346,34.01015228426395,0.038922155688622756,3.8922155688622757,runs\260325122745_or_parts_ds\subruns\260325141828_or_ds
