method,avg_bins,gap_to_opt_pct,delta_vs_bf_pp,delta_vs_ff_pp,rel_improve_vs_bf_pct,rel_improve_vs_ff_pct
FunSearch-Lite (Ours),51.800000,5.3876,0.2062,0.8115,3.6863,13.0899
Best-Fit (BF),51.900000,5.5938,0.0000,0.6053,0.0000,9.7635
First-Fit (FF),52.200000,6.1991,-0.6053,0.0000,-10.8199,0.0000
